观世音面纱[西游神器]	1	4910	20	200	0	-282	0	1
金刚伏魔盾[西游神器]	1	4910	20	200	0	-282	0	1
羽扇纶巾[三国神器]	1	4910	20	200	0	-282	0	1
过五关斩六将[三国神器]	1	4910	20	200	0	-282	0	1
挟天子以令诸侯[三国神器]	1	4910	20	200	0	-282	0	1
一骑当千[三国神器]	1	4910	20	200	0	-282	0	1
金龙玉凤[帝王神器]	1	4910	20	200	0	-282	0	1
励精图治[帝王神器]	1	4910	20	200	0	-282	0	1
九重天子[帝王神器]	1	4910	20	200	0	-282	0	1
南征北战[帝王神器]	1	4910	20	200	0	-282	0	1
乾坤大挪移[金庸神器]	1	4910	20	200	0	-282	0	1
凌波微步[金庸神器]	1	4910	20	200	0	-282	0	1
黯然销魂掌[金庸神器]	1	4910	20	200	0	-282	0	1
天山折梅手[金庸神器]	1	4910	20	200	0	-282	0	1
雅典娜的召唤[圣斗士神器]	1	4910	20	200	0	-282	0	1
曙光女神之宽恕[圣斗士神器]	1	4910	20	200	0	-282	0	1
修罗圣剑[圣斗士神器]	1	4910	20	200	0	-282	0	1
星红旋风[圣斗士神器]	1	4910	20	200	0	-282	0	1
雪夜上梁山[水浒神器]	1	4910	20	200	0	-282	0	1
智取生辰纲[水浒神器]	1	4910	20	200	0	-282	0	1
血溅鸳鸯楼[水浒神器]	1	4910	20	200	0	-282	0	1
拳打镇关西[水浒神器]	1	4910	20	200	0	-282	0	1
伏龙鼎[诛仙神器]	1	4910	20	200	0	-282	0	1
摄魂[诛仙神器]	1	4910	20	200	0	-282	0	1
大悲金轮[诛仙神器]	1	4910	20	200	0	-282	0	1
玄火鉴[诛仙神器]	1	4910	20	200	0	-282	0	1
量天尺[诛仙神器]	1	4910	20	200	0	-282	0	1
暴君之怒[暗黑神器]	1	4910	20	200	0	-282	0	1
不死皇冠[暗黑神器]	1	4910	20	200	0	-282	0	1
吸魂者[暗黑神器]	1	4910	20	200	0	-282	0	1
乔丹之石[暗黑神器]	1	4910	20	200	0	-282	0	1
天堂的信徒[暗黑神器]	1	4910	20	200	0	-282	0	1
地狱的伪装[暗黑神器]	1	4910	20	200	0	-282	0	1
盘古幡[上古神器]	1	4910	20	200	0	-282	0	1
补天石[上古神器]	1	4910	20	200	0	-282	0	1
