0/0	9:43:01
0/0	9:48:01
0/0	9:53:01
1/1	9:58:01
1/1	10:03:01
1/1	10:08:01
1/1	10:14:06
1/1	10:19:06
1/1	10:24:06
1/1	10:29:06
1/1	10:34:06
1/1	10:39:06
1/1	10:44:06
1/1	10:49:06
1/1	10:54:37
1/1	10:59:37
1/1	11:04:37
1/1	11:09:37
1/1	14:45:43
1/1	14:50:43
1/1	14:55:43
1/1	15:00:43
1/1	15:05:43
1/1	15:10:43
1/1	15:15:43
1/1	15:20:43
1/1	15:25:43
1/1	15:30:43
1/1	15:35:43
1/1	15:40:43
1/1	15:45:43
1/1	15:50:43
1/1	15:55:43
1/1	16:00:43
1/1	16:05:43
1/1	16:10:43
1/1	16:15:43
1/1	16:20:43
1/1	16:25:43
1/1	16:30:43
1/1	16:35:43
1/1	16:40:43
1/1	16:45:43
1/1	16:50:43
1/1	16:55:43
1/1	17:00:43
1/1	17:05:43
1/1	17:10:43
1/1	17:15:43
1/1	17:20:43
1/1	17:25:43
0/0	18:03:37
0/0	18:08:37
0/0	18:13:37
0/0	18:18:37
0/0	18:23:37
0/0	18:28:37
0/0	18:33:37
0/0	18:38:37
0/0	18:43:37
0/0	18:48:37
0/0	19:05:55
0/0	19:10:53
0/0	19:15:53
0/0	19:20:53
0/0	19:25:53
0/0	19:30:53
0/0	19:35:53
0/0	19:40:53
0/0	19:45:53
0/0	19:50:53
0/0	19:55:53
0/0	20:00:53
0/0	20:05:53
0/0	20:10:53
0/0	20:15:53
0/0	20:20:53
0/0	20:25:53
0/0	20:30:53
0/0	20:35:53
0/0	20:40:53
0/0	20:45:53
0/0	20:50:53
0/0	20:55:53
0/0	21:00:53
0/0	21:05:53
0/0	21:10:53
0/0	21:15:53
0/0	21:20:53
0/0	21:25:53
0/0	21:30:53
0/0	21:35:53
0/0	21:40:53
0/0	21:45:53
0/0	21:50:53
0/0	21:55:53
0/0	22:00:53
0/0	22:05:53
0/0	22:10:53
0/0	22:15:53
0/0	22:20:53
0/0	22:25:53
0/0	22:30:53
0/0	22:35:53
0/0	22:40:53
0/0	22:45:53
0/0	22:50:53
0/0	22:55:53
0/0	23:00:53
0/0	23:05:53
0/0	23:10:53
0/0	23:15:53
0/0	23:20:53
0/0	23:25:53
0/0	23:30:53
0/0	23:35:53
0/0	23:40:53
0/0	23:45:53
0/0	23:50:53
0/0	23:55:53
