1	9	10	-1	10	0	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
2	9	10	-1	20	1200	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
3	9	11	-1	80	600	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
4	-1	14	-1	0	9600	0	1	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
5	13	14	-1	100	10800	0	9	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
6	-1	11	-1	0	1800	0	1	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
8	15	16	-1	1890	1200	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
9	13	14	-1	50	0	0	1	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
10	13	14	-1	60	5400	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
11	13	14	-1	70	6600	0	10	0	1	200	0	200	0	0	0	0	0	0	1	0	1	0	0	0	0	
12	13	14	-1	80	7800	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
13	13	14	-1	0	7800	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
14	13	14	-1	110	1200	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
7	13	14	-1	60	5400	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
15	22	21	-1	900	0	0	18	0	1	200	0	200	-20	-22	0	0	0	0	0	0	1	0	0	0	0	
16	22	21	-1	920	7200	0	18	0	1	200	0	200	-20	-22	0	0	0	0	0	0	1	0	0	0	0	
17	22	23	-1	1200	0	0	10	0	1	200	0	200	-22	-30	0	0	0	0	0	0	1	0	0	0	0	
18	22	23	-1	1260	2400	0	10	0	1	200	0	200	-22	-30	0	0	0	0	0	0	1	0	0	0	0	
31	13	24	-1	120	0	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
32	13	24	-1	140	1200	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
33	13	24	-1	130	600	0	10	0	1	200	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	
